R,R_se,misses,ghosts,dups,AP,RO_recall,harm_rate,malicious_accept,benefit_rate,accept_rate,soft_frac,quarantine_frac,tier,condition,n_dropped
6.451872906220924,0.1520416772059202,2.2085714285714286,1.0514285714285714,0.10285714285714286,0.678736780762287,0.6693653695481849,0.5022801302931597,,0.8822355289421158,0.8033854166666666,0.0,0.0,all,none,0
6.920288472222541,0.17224069876531695,2.3442857142857143,1.0571428571428572,0.12142857142857143,0.6694004028599332,0.6220005392289026,0.3020088525706503,0.037257824143070044,0.8758907363420427,0.711568661664631,0.0,0.0,all,spoof,0
6.643177519745633,0.15418645895773006,2.2357142857142858,1.06,0.08571428571428572,0.6688533449611994,0.6461414358698575,0.2193877551020408,0.061130742049469965,0.8562749193089045,0.631180826498925,0.0,0.0,all,collusion,0
6.47825011035305,0.15234536639360455,2.22,1.07,0.09714285714285714,0.6791733606749032,0.668581875163228,0.504885993485342,,0.8815097078570132,0.8034855769230769,0.0,0.0,no_reputation,none,1
6.871709486389916,0.17176752983440702,2.36,1.0285714285714285,0.11571428571428571,0.6626586373279999,0.6195740091668913,0.2992849846782431,0.03502235469448584,0.8770783847980997,0.7105217239574245,0.0,0.0,no_reputation,spoof,1
6.567907089087037,0.1575245660107648,2.2328571428571427,1.0257142857142858,0.07285714285714286,0.6757665871477015,0.6461414358698575,0.21730055658627087,0.05653710247349823,0.8593127017277388,0.6325344374552114,0.0,0.0,no_reputation,collusion,1
6.634339408148649,0.15865207972237683,2.0171428571428573,1.3142857142857143,0.14,0.6873688967965219,0.7007051449464612,0.50814332247557,,0.9112683723462166,0.8252203525641025,0.0,0.0,no_collusion_signals,none,3
6.992937999462512,0.17322949977490387,2.157142857142857,1.2742857142857142,0.12857142857142856,0.6755791673144107,0.6535454300350498,0.30337078651685395,0.03353204172876304,0.8986539984164688,0.7214273250741581,0.0,0.0,no_collusion_signals,spoof,3
6.79553646256961,0.15942615025424875,2.07,1.38,0.09857142857142857,0.6699730866409422,0.6730303845119656,0.22263450834879406,0.055477031802120144,0.8944370609455098,0.6516442391910184,0.0,0.0,no_collusion_signals,collusion,3
7.380897756160335,0.16846840498189924,2.0514285714285716,1.6542857142857144,0.13285714285714287,0.6722741779471226,0.7012274745364325,0.2977198697068404,,0.9531845400108874,0.8161057692307693,0.0,0.0,no_asserted_quality,none,6
8.876805675815843,0.1968083185192067,2.2085714285714286,2.1285714285714286,0.12428571428571429,0.6093498924360499,0.6500404421677002,0.29247531494722506,0.2600596125186289,0.9441805225653207,0.7487349502704589,0.0,0.0,no_asserted_quality,spoof,6
8.64206696093356,0.1915825926129883,2.072857142857143,2.2142857142857144,0.09285714285714286,0.6058010733538797,0.6770637268082818,0.2822356215213358,0.2713780918727915,0.9401936586292007,0.6930488096186002,0.0,0.0,no_asserted_quality,collusion,6
7.616601043883397,0.1707782389796241,2.1157142857142857,1.667142857142857,0.13714285714285715,0.6615747621956793,0.6960041786367198,0.23908794788273616,,0.9566321901651244,0.8068910256410257,0.0,0.0,ego_verifiable_only,none,10
8.987295678718352,0.199208850540467,2.1985714285714284,2.1885714285714286,0.12428571428571429,0.5960209261385084,0.6551631167430574,0.2774940415389854,0.323397913561848,0.9570467141726049,0.7503926016402024,0.0,0.0,ego_verifiable_only,spoof,10
8.723242209852968,0.19298472819292423,2.0228571428571427,2.3057142857142856,0.09714285714285714,0.6026758969026228,0.6897015326700726,0.3172541743970315,0.3586572438162544,0.9658249477881147,0.7195636595270324,0.0,0.0,ego_verifiable_only,collusion,10
