lam,raw_ghost_admit,raw_accept,cal_ghost_admit,cal_accept
0.005,0.23246581385090428,0.14631725233273774,0.0,0.0
0.01,0.24658138509042787,0.18284693269803454,0.0,0.0
0.02,0.2580502867225408,0.23893190391105817,0.0,0.0
0.05,0.27525363917071016,0.3735358348223149,0.0,0.0
0.1,0.2898103220114689,0.4878896168354179,0.0,0.0
0.2,0.31274812527569473,0.5929124478856462,0.3925893250992501,0.8123883263847528
0.4,0.3365681517423908,0.695850704784594,0.43978826643140717,0.8522930315664086
