weights,policy,R,AP,RO_recall,harm_rate
default,ego_only,11.813203494210626,0.27926080459180264,0.0,0.0
default,naive_lf,15.739449512690195,0.5250610612416737,0.7146212566059894,1.0
default,conf_0.7,14.476170950208525,0.435659096487712,0.532002348796242,0.47834493426140756
default,cad_like,11.26060019717479,0.5438925305450153,0.6685261303581914,0.4965197215777262
default,ghostguard_crc,10.687746021588522,0.40329014390316803,0.1655901350557839,0.177107501933488
default,oracle_greedy,4.482000364159045,0.7870596644753654,0.7307692307692307,0.005027068832173241
ghost_heavy,ego_only,13.52259612612597,0.27926080459180264,0.0,0.0
ghost_heavy,naive_lf,39.07187083620828,0.5250610612416737,0.7146212566059894,1.0
ghost_heavy,conf_0.7,31.761954291534707,0.435659096487712,0.532002348796242,0.47834493426140756
ghost_heavy,cad_like,22.591530011960845,0.5438925305450153,0.6685261303581914,0.4965197215777262
ghost_heavy,ghostguard_crc,12.403166640275316,0.40329014390316803,0.1655901350557839,0.177107501933488
ghost_heavy,oracle_greedy,6.074258427892966,0.7870596644753654,0.7307692307692307,0.005027068832173241
miss_heavy,ego_only,33.38355120696405,0.27926080459180264,0.0,0.0
miss_heavy,naive_lf,22.53360098547239,0.5250610612416737,0.7146212566059894,1.0
miss_heavy,conf_0.7,25.1035451948188,0.435659096487712,0.532002348796242,0.47834493426140756
miss_heavy,cad_like,21.355673212947096,0.5438925305450153,0.6685261303581914,0.4965197215777262
miss_heavy,ghostguard_crc,29.91251838010383,0.40329014390316803,0.1655901350557839,0.177107501933488
miss_heavy,oracle_greedy,10.970445223193837,0.7870601030686076,0.7304756312389901,0.005027068832173241
no_dup_no_loc,ego_only,11.639870172334383,0.27926080459180264,0.0,0.0
no_dup_no_loc,naive_lf,15.06328639815014,0.5250610612416737,0.7146212566059894,1.0
no_dup_no_loc,conf_0.7,13.956578792968225,0.435659096487712,0.532002348796242,0.47834493426140756
no_dup_no_loc,cad_like,10.71300141527918,0.5438925305450153,0.6685261303581914,0.4965197215777262
no_dup_no_loc,ghostguard_crc,10.47009648860105,0.40329014390316803,0.1655901350557839,0.177107501933488
no_dup_no_loc,oracle_greedy,4.0475160917843604,0.7861970890216406,0.7298884321785085,0.002320185614849188
