alpha,lam_hat,cal_risk,bound,risk_none,holds_none,risk_spoof,holds_spoof,risk_collusion,holds_collusion,risk_removal,holds_removal,risk_degraded,holds_degraded,accept_rate,benefit_rate,RO_recall,R_benign
0.05,0.0,0.0,0.04932142857142857,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,0.0,0.0005223295899712719,11.541650720259472
0.1,0.0,0.0,0.09935714285714287,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,0.0,0.0005223295899712719,11.541650720259472
0.15,0.0,0.0,0.14939285714285713,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,0.0,0.0005223295899712719,11.541650720259472
0.2,0.0,0.0,0.19942857142857143,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,0.0,0.0005223295899712719,11.541650720259472
0.3,0.02,0.2859523809523796,0.2995,0.26878787878787874,True,0.25666666666666665,True,0.2824242424242424,True,0.2599332726721261,True,0.31696969696969696,False,0.18098958333333334,0.1449827617492288,0.14912509793679812,10.488095541214854
0.4,0.52,0.3992857142857134,0.3995714285714286,0.3784848484848485,True,0.3990909090909091,True,0.44969696969696965,False,0.36700030330603584,True,0.4478787878787878,False,0.7972756410256411,0.8780620577027762,0.6479498563593628,6.374131370396868
0.5,0.98,0.49928571428571533,0.49964285714285717,0.4830303030303031,True,0.5715151515151515,False,0.7630303030303031,False,0.4707309675462541,True,0.5881818181818181,False,0.9220753205128205,0.9880239520958084,0.7009663097414468,6.979647059430985
