lam,cal_risk
0.0,0.0
0.02,0.2859523809523796
0.04,0.30857142857142694
0.06,0.3249999999999983
0.08,0.3330952380952364
0.1,0.3433333333333316
0.12000000000000001,0.3502380952380936
0.13999999999999999,0.3549999999999985
0.16,0.3583333333333318
0.18,0.3619047619047604
0.19999999999999998,0.3649999999999985
0.22,0.3678571428571414
0.24,0.3716666666666653
0.26,0.3749999999999988
0.28,0.3783333333333322
0.30000000000000004,0.38095238095237977
0.32,0.38261904761904636
0.34,0.38452380952380844
0.36000000000000004,0.3869047619047608
0.38,0.38761904761904664
0.4,0.3892857142857131
0.42000000000000004,0.3914285714285703
0.44,0.39309523809523705
0.46,0.3938095238095227
0.48000000000000004,0.39595238095237995
0.5,0.3976190476190466
0.52,0.3992857142857134
0.54,0.4026190476190467
0.56,0.40452380952380856
0.5800000000000001,0.4061904761904753
0.6,0.40952380952380874
0.62,0.41190476190476105
0.64,0.413809523809523
0.66,0.41833333333333267
0.68,0.42095238095238047
0.7000000000000001,0.42285714285714254
0.7200000000000001,0.4254761904761901
0.74,0.4290476190476186
0.76,0.43190476190476157
0.78,0.43476190476190435
0.8,0.437142857142857
0.8200000000000001,0.43904761904761885
0.8400000000000001,0.4442857142857143
0.86,0.4480952380952381
0.88,0.4533333333333337
0.9,0.4590476190476194
0.92,0.46404761904761976
0.9400000000000001,0.46880952380952473
0.9600000000000001,0.4778571428571439
0.98,0.49928571428571533
1.0,0.6711904761904759
