atk,nonexistent,fabricated,harmful_solo,harmful_marg,u_solo,u_marg,conf
none,False,False,False,False,0.9517295448070442,0.9517295448070442,0.6787572452474412
none,False,False,False,False,0.9409016782891761,0.9409016782891761,0.7129192557751984
none,False,False,False,False,0.9628201278072286,0.49010219514299935,0.7290819914744544
none,False,False,False,False,0.0,0.0,0.17366993311504597
none,False,False,False,False,0.0,0.0,0.06808701377684806
none,False,False,False,False,1.9121737589040144,1.9121737589040144,0.8531152368607373
none,False,False,True,True,-2.0,-2.0,0.8504028103159945
none,False,False,False,False,0.9746526000177091,0.21830390775494363,0.86311499208439
none,False,False,False,False,4.28377404021227,4.283774040212269,0.7201345389201047
none,False,False,False,False,0.053621887943037905,0.05362188794303776,0.708150165390289
none,False,False,False,False,0.001791175489884722,0.0017911754898856103,0.8970440065660642
none,False,False,False,False,2.395404689295649,2.3954046892956486,0.8094210417546525
none,True,False,False,False,0.0,0.0,0.1820709315312751
none,True,False,True,True,-1.3088270946350313,-1.308827094635033,0.3080624292971655
none,False,False,False,False,1.943501231426115,1.943501231426117,0.788221972992763
none,False,False,False,False,0.9485446186687483,0.9485446186687492,0.9280136657600628
none,False,False,False,False,0.9586700173061757,0.7196769420081459,0.793258143251766
none,False,False,True,True,-0.11918942076589545,-0.07565430536696346,0.517803949682013
none,True,False,False,False,0.0,0.0,0.2614541881438061
none,True,False,False,False,0.0,-0.003496806868816075,0.22640718542770014
none,False,False,False,False,0.0,0.0,0.9267316801734413
none,False,False,False,False,0.9468416059003637,0.48587135164146983,0.8188529689498281
none,True,False,False,False,0.0,0.0,0.09547043579017093
none,False,False,False,False,0.0,0.0,0.11835982186583828
none,False,False,False,False,4.124759596729946,4.124759596729949,0.7460973680454875
none,False,False,False,False,2.204534917383395,2.2045349173833975,0.9434115386203283
none,False,False,False,False,3.1516215927654656,3.1516215927654674,0.8465060076799368
none,False,False,False,False,-0.041397049938971975,-0.014187602814638378,0.7082034837965371
none,True,False,False,False,0.0,0.0,0.28796875372019404
none,False,False,False,True,1.880584580420793,-1.0963657544696623,0.851472928331056
none,False,False,False,False,-0.03453245048594056,-0.03453245048594056,0.802374073590483
none,False,False,False,False,0.8747739809344104,0.0,0.38008749805361436
none,False,False,False,False,0.9555870225262382,0.2502037465855502,0.7670929124314484
none,False,False,False,False,0.07151030338026665,0.040736889381314555,0.890616224543174
none,False,False,False,True,1.938064586908089,-1.0388857479823657,0.8813174994578886
none,False,False,True,True,-2.0,-2.0,0.8031045427012292
none,False,False,False,False,0.9533262410266321,0.24794296508594327,0.7013996708556116
none,False,False,False,False,0.1064249478223882,0.1064249478223888,0.7384948295578785
none,False,False,False,False,-0.029153527748983166,-0.029153527748982572,0.9669688840733751
none,False,False,False,False,0.1224208319920308,0.09780210079286852,0.8463276227257108
none,True,False,True,True,-2.0,-2.0,0.36606795154995203
none,False,False,False,False,4.211286384321408,4.211286384321409,0.8854760279201888
none,False,False,False,False,1.9253217263989306,1.1810188949128222,0.6654294991324956
none,False,False,False,True,-0.015415191254440685,-0.812337106323505,0.6046638232062858
none,False,False,False,False,0.9135353448891497,0.48104457880845297,0.6300256496847105
none,False,False,True,True,-0.1040941189798783,-1.2652042215796087,0.46295305625001965
none,False,False,False,False,0.0,0.0,0.73603908729512
none,False,False,False,False,0.0,0.0,0.4050403162165146
none,False,False,False,False,1.8806150753322104,1.1363122438461037,0.6031441497638693
none,False,False,False,True,-0.0009727949063904617,-0.7978947099754539,0.8517582671032233
none,False,False,True,True,-2.0,-1.9999999999999991,0.7046381927123463
none,False,False,False,False,0.9383392716855123,0.6500120942983815,0.984204703949231
none,False,False,True,True,-0.06740920595924571,-0.06740920595924464,0.9284859999408847
none,False,False,False,False,0.04903468476279471,0.0490346847627953,0.8315269167495467
none,False,False,False,True,-0.003165922796197762,-0.777239324529352,0.9324322791742713
none,False,False,False,False,0.0,0.0,0.055444041983215106
none,False,False,True,False,-0.052856253928588615,-0.04220485776151802,0.7065973389505835
none,False,False,False,False,1.9328558579236113,1.9328558579236095,0.41300541422091736
none,False,False,False,False,0.9586361372214718,0.3341753464343622,0.8951585273128682
none,False,False,False,False,0.0,0.0,0.19063523804672905
none,False,False,False,False,1.9147268449046457,1.914726844904644,0.6951821670281633
none,False,False,False,False,-0.00135543967057572,0.005035398029665216,0.5419929984215874
none,False,False,False,True,1.8679476330376303,-1.3131524586449361,0.9096552251732825
none,False,False,False,False,0.9555761979954802,0.48723060490514847,0.5484640968772361
none,False,False,True,True,-0.09251389601480753,-0.09251389601480871,0.6680544265450035
none,False,False,False,False,0.07174797229491858,0.07174797229491645,0.7293045612668784
none,False,False,False,False,2.1920064941413226,2.1920064941413213,0.823552828388663
none,True,False,False,False,0.0,0.0,0.26759913747972824
none,True,False,True,True,-2.9895611762829404,-2.9895611762829413,0.35663534719016454
none,False,False,False,True,1.909400194921524,-0.33630530647109147,0.6570330051930702
none,False,False,False,False,0.9215892323858093,0.4617341807373716,0.475092722519546
none,False,False,False,False,0.9362975546704249,0.9362975546704249,0.7298642246623663
none,False,False,True,True,-2.356681843689202,-1.7897901323854248,0.7698121316282669
none,False,False,False,True,1.9051001269213756,-0.3406053744712416,0.6520906510021625
none,False,False,False,False,0.9655086694813555,0.22974058684384993,0.7466495105146443
none,False,False,False,False,0.9672736903360963,0.21374036798381368,0.5960042202602851
none,True,False,True,True,-1.0,-0.9999999999999997,0.5094212848065046
