R,R_se,misses,ghosts,dups,AP,RO_recall,harm_rate,malicious_accept,benefit_rate,accept_rate,soft_frac,quarantine_frac,gate,condition
6.625199780026709,0.21241716401299437,1.8111111111111111,1.28,0.1511111111111111,0.7088826832425618,0.7189235369500213,0.31877958968963704,0.06,0.9260257562144355,0.7400193396878022,0.0,0.0,gate trained on naive attacks,spoof
9.5211978671546,0.24873255531905927,2.2177777777777776,2.1933333333333334,0.13111111111111112,0.6254961783675661,0.6725057121096725,0.5316062176165803,0.5534308211473565,0.9205697069296084,0.7907387289516568,0.0,0.0,gate trained on naive attacks,spoof_adaptive
8.237445834366317,0.2245008657932865,2.2377777777777776,1.7533333333333334,0.12444444444444444,0.6137179327320123,0.6409090909090909,0.3224561403508772,0.2047930283224401,0.8995358090185677,0.6807056777239409,0.0,0.0,gate trained on naive attacks,collusion
12.139474812618193,0.28285633629756357,2.16,2.9355555555555557,0.14444444444444443,0.6241126924190256,0.7092528068137824,0.6923076923076923,0.7797454344216934,0.9151562910428158,0.8165797101449276,0.0,0.0,gate trained on naive attacks,collusion_adaptive
8.328938948258214,0.21814579863713582,1.9666666666666666,1.8244444444444445,0.1688888888888889,0.6208403374709047,0.7001281503630927,0.4934245134139926,0.4488888888888889,0.8799041629230309,0.7593590274899849,0.0,0.0,gate retrained on adaptive,spoof
7.644960224070123,0.20617485929362536,2.411111111111111,1.3511111111111112,0.13111111111111112,0.643909503027976,0.6386138613861386,0.35647668393782384,0.18785151856017998,0.8671596822788277,0.7193101575230852,0.0,0.0,gate retrained on adaptive,spoof_adaptive
12.928421718256814,0.30582361331852403,2.433333333333333,2.942222222222222,0.1288888888888889,0.4994924282194412,0.6122727272727273,0.8014035087719298,0.9640522875816994,0.853448275862069,0.8276804571996521,0.0,0.0,gate retrained on adaptive,collusion
11.393075319089641,0.2622800882914887,2.397777777777778,2.5755555555555554,0.12666666666666668,0.6039608487065228,0.6724738675958188,0.6277346506704304,0.7094631986718317,0.8670869451011295,0.7654492753623189,0.0,0.0,gate retrained on adaptive,collusion_adaptive
8.740084408264646,0.23415956123689835,1.8111111111111111,2.2866666666666666,0.1711111111111111,0.6254860619110214,0.7257582229816317,0.29037348763808524,0.3466666666666667,0.9742437855645403,0.7579776212184003,0.0,0.0,"gate retrained, geometry only",spoof
8.948112693918329,0.22998358651651044,2.102222222222222,2.3755555555555556,0.15333333333333332,0.6336048275354553,0.6904036557501904,0.3160621761658031,0.3914510686164229,0.9764448096411942,0.770097772949484,0.0,0.0,"gate retrained, geometry only",spoof_adaptive
9.955347468939873,0.2710158199884675,2.1422222222222222,2.64,0.13777777777777778,0.5702928980032631,0.6595454545454545,0.38035087719298244,0.4531590413943355,0.980106100795756,0.7325133556963598,0.0,0.0,"gate retrained, geometry only",collusion
9.524358056466175,0.2543614622811786,2.013333333333333,2.488888888888889,0.15777777777777777,0.6612836725084548,0.7313201703445605,0.36908962597035994,0.42999446596568897,0.9768846861045443,0.7459710144927536,0.0,0.0,"gate retrained, geometry only",collusion_adaptive
14.906590292554561,0.3525989804087125,1.6177777777777778,4.637777777777778,0.24,0.5396280848982967,0.7471166168304143,1.0,1.0,1.0,1.0,0.0,0.0,naive_lf,spoof
11.654652243521435,0.2028649652927349,6.033333333333333,0.32,0.0,0.28936717970345066,0.00042716787697565144,0.0,0.0,0.0,0.0,0.0,0.0,ego_only,spoof
10.675866122373357,0.2721377444858863,2.2488888888888887,2.7533333333333334,0.16,0.5669643319101705,0.7112345151644597,0.5297211993687533,0.4811111111111111,0.9383048817011082,0.7748307777317309,0.0,0.0,cad_like,spoof
4.12169826192027,0.14511177834975997,1.5022222222222221,0.30666666666666664,0.0,0.8061269893279673,0.7646304997864161,0.006838506049447659,0.011111111111111112,0.6226415094339622,0.3999171156237049,0.0,0.0,oracle_greedy,spoof
15.01306840899463,0.3273610138212782,1.9333333333333333,4.671111111111111,0.22,0.5943307279754706,0.7090632140137091,1.0,1.0,1.0,1.0,0.0,0.0,naive_lf,spoof_adaptive
12.47288189346229,0.20731308281249644,6.611111111111111,0.3088888888888889,0.0,0.26000706021113723,0.0007616146230007616,0.0,0.0,0.0,0.0,0.0,0.0,ego_only,spoof_adaptive
10.7219094626291,0.25524772465072115,2.6444444444444444,2.7422222222222223,0.15555555555555556,0.5809299101560773,0.6664127951256664,0.49015544041450776,0.4128233970753656,0.9359079704190633,0.7662954915806627,0.0,0.0,cad_like,spoof_adaptive
4.460159229933795,0.14151971248576098,1.8311111111111111,0.2777777777777778,0.0,0.7767699801275246,0.7212490479817213,0.008290155440414507,0.015748031496062992,0.6206518761983019,0.40467137425312333,0.0,0.0,oracle_greedy,spoof_adaptive
15.61726490339291,0.34208347272406553,1.9622222222222223,4.7844444444444445,0.18666666666666668,0.5038088669567562,0.6759090909090909,1.0,1.0,1.0,1.0,0.0,0.0,naive_lf,collusion
11.324055885063691,0.22958023071349173,5.955555555555556,0.3422222222222222,0.0,0.29618895561919967,0.0009090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,ego_only,collusion
11.539639354310376,0.2767463537584013,2.8555555555555556,2.7466666666666666,0.10444444444444445,0.506126912366049,0.6195454545454545,0.48912280701754385,0.4444444444444444,0.9048408488063661,0.7019505528637098,0.0,0.0,cad_like,collusion
4.74866215129865,0.1638743747169201,1.8844444444444444,0.31555555555555553,0.0,0.7650796536848556,0.6877272727272727,0.004561403508771929,0.005991285403050109,0.5974801061007957,0.3350726798360045,0.0,0.0,oracle_greedy,collusion
15.340154869371355,0.3258413411447386,1.8022222222222222,4.733333333333333,0.20444444444444446,0.6265065376251385,0.7487417731320171,1.0,1.0,1.0,1.0,0.0,0.0,naive_lf,collusion_adaptive
12.42939838934881,0.20083948937769192,6.7,0.38,0.0,0.27770790466802503,0.0007742934572202865,0.0,0.0,0.0,0.0,0.0,0.0,ego_only,collusion_adaptive
