R,R_se,misses,ghosts,dups,AP,RO_recall,harm_rate,malicious_accept,benefit_rate,accept_rate,soft_frac,quarantine_frac,condition,policy
12.048820783208667,0.134734765378542,6.448181818181818,0.3418181818181818,0.0,0.27808362166163614,0.0009696186166774402,0.0,,0.0,0.0,0.0,0.0,none,ego_only
9.48479722878641,0.1566777659487846,1.749090909090909,2.862727272727273,0.2190909090909091,0.7028549533435986,0.7364253393665159,1.0,,1.0,1.0,0.0,0.0,none,naive_lf
8.047654008859048,0.1437004125678123,1.9227272727272726,1.9645454545454546,0.19727272727272727,0.6866415237589972,0.709114414996768,0.18315454906634882,,0.9150261372483595,0.7749875992063492,0.0,0.0,none,conf_0.5
8.230136622746137,0.13780748724338898,2.8854545454545453,1.2636363636363637,0.11,0.5986174249563536,0.5589851325145443,0.030194676201827572,,0.6177288399510622,0.5032242063492064,0.0,0.0,none,conf_0.7
10.13732676566801,0.13529063988232123,4.749090909090909,0.7090909090909091,0.03272727272727273,0.4193547739870703,0.26616031027795733,0.0015891934843067143,,0.24268713157602045,0.19618055555555555,0.0,0.0,none,conf_0.85
9.030150965339237,0.1329292934354849,3.902727272727273,0.740909090909091,0.09727272727272727,0.5331651504209561,0.40562378797672916,0.017878426698450536,,0.689356022689356,0.6014384920634921,0.0,0.0,none,geom_consensus
7.357842275674097,0.13718510669613293,2.199090909090909,1.4063636363636363,0.14636363636363636,0.7305723335479601,0.666289592760181,1.0,,1.0,1.0,1.0,0.0,none,belt_like
8.856982808753045,0.14691539434279624,2.480909090909091,1.9236363636363636,0.12636363636363637,0.6462384044648439,0.6945701357466063,0.5542312276519666,,0.9350461572683795,0.8117559523809523,0.0,0.0,none,cad_like
9.361014970542739,0.15405851149140118,3.2163636363636363,1.5854545454545454,0.08363636363636363,0.5762186351472024,0.5412087912087912,0.46881207787048074,,0.6218440662885107,0.5842013888888888,0.0,0.0,none,robosac_like
9.36200710223375,0.15059531620974917,2.9154545454545455,1.8354545454545454,0.10545454545454545,0.6021039671641095,0.5614091790562379,0.5923718712753278,,0.6540985429874319,0.6563740079365079,0.0,0.0,none,mate_like
6.502867114750613,0.12939044986795745,2.0845454545454545,1.018181818181818,0.13,0.714002623043908,0.6919844861021331,0.5137067938021455,,0.8963407852296741,0.8160342261904762,0.0,0.0,none,gate_binary
10.601556465262023,0.13133381002133654,5.367272727272727,0.3563636363636364,0.0,0.4116537858783408,0.18293471234647704,0.344854986094557,,0.18329440551662773,0.2021329365079365,0.05326140873015873,0.007626488095238095,none,ghostguard_crc
10.769578687531741,0.13130564557297128,5.487272727272727,0.3518181818181818,0.0,0.3857844881901721,0.1632191338073691,0.34445768772348034,,0.15515515515515516,0.1814856150793651,0.032614087301587304,0.028273809523809524,none,gg_no_quarantine
9.20683267718906,0.13005188216359448,4.318181818181818,0.38,0.0018181818181818182,0.5126215644239608,0.35148674854557205,0.36829558998808104,,0.3362251140028918,0.30691964285714285,0.041604662698412696,0.006262400793650794,none,gg_label_solo
4.7095728826809315,0.10163588582650929,1.8354545454545454,0.3709090909090909,0.004545454545454545,0.7735094365130096,0.7222042663219134,0.007151370679380214,,0.6244021799577355,0.47333829365079366,0.0,0.0,none,oracle_loo
4.298131039674976,0.09730889287323316,1.6318181818181818,0.3281818181818182,0.0,0.795939365819838,0.7529088558500323,0.004370282081843465,,0.6271827382938494,0.4615575396825397,0.0,0.0,none,oracle_greedy
12.747332810499042,0.13272151558128073,6.707272727272727,0.3372727272727273,0.0,0.2698906099281193,0.0004683109584764284,0.0,0.0,0.0,0.0,0.0,0.0,spoof,ego_only
15.737517777719754,0.2125281300542163,1.9672727272727273,4.787272727272727,0.24363636363636362,0.5353373059866701,0.7158913518576334,1.0,1.0,1.0,1.0,0.0,0.0,spoof,naive_lf
14.318198939742086,0.2058385586976596,2.148181818181818,3.88,0.21363636363636362,0.5224783588301932,0.69013424914143,0.5717657155116928,1.0,0.9098495662677062,0.803659849300323,0.0,0.0,spoof,conf_0.5
14.445040534640906,0.20093849248096657,3.158181818181818,3.1272727272727274,0.11636363636363636,0.4462485812111122,0.535435529191383,0.4855181291568333,1.0,0.6096409355440869,0.5631862217438105,0.0,0.0,spoof,conf_0.7
13.939502766925822,0.17374353304877013,5.083636363636364,1.730909090909091,0.026363636363636363,0.3345651246545463,0.2438339057133937,0.2619609525852821,0.5536774783005939,0.22630943230482048,0.22933261571582347,0.0,0.0,spoof,conf_0.85
9.82208696680458,0.13884995228501118,4.2272727272727275,0.8245454545454546,0.11818181818181818,0.5074550094139897,0.3783952544489541,0.037545591074876636,0.05619004111466423,0.6758537388821786,0.5382131324004306,0.0,0.0,spoof,geom_consensus
13.567552970535418,0.2015372414675564,2.5063636363636363,3.272727272727273,0.15,0.6046211508787324,0.6319075866375273,1.0,1.0,1.0,1.0,1.0,0.0,spoof,belt_like
11.728276770984548,0.17496147094285258,2.7536363636363634,2.88,0.16272727272727272,0.5404322979649729,0.6695285669684671,0.5207037116498605,0.46048423937871175,0.9306028329856154,0.7713670613562971,0.0,0.0,spoof,cad_like
11.54890019480395,0.17653112926832332,3.806363636363636,1.8854545454545455,0.07909090909090909,0.48043100579032755,0.46909147674055574,0.32739755417292427,0.25902238465052535,0.5388162951575711,0.47831001076426266,0.0,0.0,spoof,robosac_like
12.174953591475163,0.18882957900803143,3.580909090909091,2.252727272727273,0.1,0.4897690150765709,0.47814548860443334,0.43703068011156404,0.36180904522613067,0.547381135390359,0.5364370290635091,0.0,0.0,spoof,mate_like
7.296762131261259,0.1337207085227228,2.389090909090909,1.0918181818181818,0.14363636363636365,0.6811158307483958,0.6584452076178583,0.29092469427161555,0.05207857469164002,0.8681234215438673,0.708719052744887,0.0,0.0,spoof,gate_binary
11.57325194486399,0.13464338541653292,5.796363636363636,0.3381818181818182,0.0,0.3760398947977103,0.14939119575398063,0.17657155116927697,0.0009136592051164915,0.14417481058526407,0.15758880516684606,0.03961248654467169,0.006942949407965554,spoof,ghostguard_crc
11.72150051736716,0.1342681751870604,5.900909090909091,0.3381818181818182,0.0,0.3661292141046317,0.1333125195129566,0.1763570049345634,0.0009136592051164915,0.12144504227517294,0.1423573735199139,0.024381054897739503,0.02217438105489774,spoof,gg_no_quarantine
10.199160608313404,0.13401600945923864,4.858181818181818,0.35545454545454547,0.004545454545454545,0.47572840930960025,0.2958164221042772,0.1885861403132375,0.00045682960255824577,0.28187108817393214,0.23697524219590957,0.033853606027987086,0.0052206673842841765,spoof,gg_label_solo
5.418874944052043,0.11125710816042239,2.071818181818182,0.43636363636363634,0.0036363636363636364,0.7542254349044034,0.699344364658133,0.021025531001930917,0.03883051621745089,0.6130449105084002,0.4157158234660926,0.0,0.0,spoof,oracle_loo
4.778041912285552,0.10077953701378921,1.8481818181818181,0.3209090909090909,0.0,0.7865863929798285,0.7329066500156104,0.007080025745548166,0.012791228871630882,0.6038212364115515,0.3959095801937567,0.0,0.0,spoof,oracle_greedy
11.864367633792634,0.13457627026121752,6.487272727272727,0.3709090909090909,0.0,0.26802831411868683,0.0006523157208088715,0.0,0.0,0.0,0.0,0.0,0.0,collusion,ego_only
15.201576632700606,0.21609856435150504,1.910909090909091,4.7281818181818185,0.21545454545454545,0.5273597709103007,0.7136333985649054,1.0,1.0,1.0,1.0,0.0,0.0,collusion,naive_lf
13.817769693551242,0.20695060533752968,2.078181818181818,3.8436363636363637,0.19363636363636363,0.5150065852368014,0.6872146118721462,0.70475372279496,1.0,0.9162044851700024,0.8207099705427131,0.0,0.0,collusion,conf_0.5
13.840938074460437,0.19809720803142672,3.01,3.1436363636363636,0.11090909090909092,0.4407602115568957,0.5424005218525767,0.64790950744559,1.0,0.6308174584036653,0.6163063557841131,0.0,0.0,collusion,conf_0.7
13.187423756242167,0.1702825187073688,4.88,1.7572727272727273,0.02090909090909091,0.33028594998702543,0.25391389432485323,0.34464490263459335,0.5398110661268556,0.24439353749698578,0.2713066054221379,0.0,0.0,collusion,conf_0.85
