atk,kind,remote_only,u_marg,u_marg_sd,u_solo,u_loo,u_greedy,n_cnt
none,true,True,0.6443915459678025,0.4536419638483242,0.9825163021715859,0.03576698480098983,0.9825163021715877,14
none,true,True,0.6136634999441708,0.6843928449607464,1.370288258590394,-0.005393120766374437,-0.00539312076637577,20
none,true,True,0.9573049697403877,0.0,0.9573049697403881,0.9573049697403881,0.9573049697403881,17
none,true,True,0.6355709224874437,0.44249731533214914,0.9484637748156484,0.009785217831034032,0.009785217831033921,9
none,true,True,0.6609132657869723,0.5114481266040557,1.0689077291459714,0.01977910907997149,1.0689077291459714,18
none,true,True,0.33892258067218567,0.4600966826073456,0.9895975492183631,0.013585096399097552,0.989597549218364,12
none,true,False,-3.7598562219690597,5.960464477539063e-08,-3.759856221969061,-3.759856221969061,-3.759856221969061,16
none,honest_fp,False,0.0,0.0,0.0,0.0,0.0,10
none,honest_fp,False,-2.897998502257302,0.0,-2.8979985022573036,-2.897998502257302,-2.897998502257302,16
none,true,True,0.9654990410257577,0.0,0.9654990410257565,0.9654990410257582,0.9654990410257578,16
none,true,True,0.3878636696831878,0.46851940563343647,0.9288632796092422,-0.01788603776135389,-0.017886037761354,21
none,true,True,0.4087891840480448,0.4598566994208659,0.9719963182388138,0.033317761254199496,0.9719963182388138,15
none,true,True,0.637484547890208,0.5114481266040556,1.045479011249208,-0.0036496088167918828,-0.003649608816792549,18
none,true,True,0.2237388529546847,0.41400740519191104,0.970101316875299,-0.0059111359439647515,-0.005911135943965862,17
none,true,True,0.9684778938045161,0.0,0.9684778938045167,0.9684778938045167,0.9684778938045167,8
none,honest_fp,False,-2.3153034981772733,5.1619136559035694e-08,-2.3153034981772738,-2.3153034981772738,-2.3153034981772738,18
none,honest_fp,False,0.0,0.0,0.0,0.0,0.0,16
none,true,True,0.952974392707266,0.0,0.9529743927072634,0.9529743927072669,0.9529743927072659,16
none,true,True,0.8833228806178574,0.6739434856144445,1.4335954323605655,0.057914053003795374,1.4335954323605655,15
none,true,False,3.6553477988154564,4.2146848510894035e-08,3.6553477988154572,3.655347798815459,3.6553477988154572,20
none,honest_fp,False,-0.9999999999999999,0.0,-1.0,-1.0,-1.0,13
none,true,True,0.5546089774205233,0.4587541461526947,0.9423269959158205,0.011803751527107664,0.9423269959158214,12
none,true,True,0.9330617441583122,0.0,0.9330617441583122,0.9330617441583122,0.9330617441583113,20
none,true,True,0.5173825218259815,0.46773619269523004,0.9851187145212101,0.049646329130752065,0.985118714521211,16
none,true,True,1.322181716290917,2.1073424255447017e-08,1.3221817162909169,1.3221817162909169,1.3221817162909169,14
none,true,False,-6.065857129816846,0.0,-6.065857129816845,-6.065857129816844,-6.065857129816845,15
none,true,True,0.8816887490361514,1.0536712127723509e-08,0.8816887490361509,0.8816887490361509,0.8816887490361515,15
none,true,True,1.081976326253222,0.0,1.081976326253221,1.0819763262532227,1.0819763262532218,14
none,true,True,0.3061589478833894,0.4196348326285443,0.9238446967095246,0.0210732176559425,0.9238446967095255,19
none,true,True,0.46557356150002155,0.450488085018905,0.9160616465189264,0.0150854764811168,0.9160616465189264,16
none,true,False,-0.030191086040399804,0.017809023428483985,-0.058349624509055786,-0.018927670652937323,-0.0583496245090549,14
none,true,True,0.3971738222299042,0.4616124550907842,0.9205931471985558,-0.009930097190158804,-0.009930097190158249,16
none,true,True,0.4338476163709867,0.4677361926952299,0.9015838090662154,-0.03388857632424269,-0.03388857632424336,16
none,true,True,0.8887773034485394,0.0,0.8887773034485384,0.8887773034485402,0.8887773034485391,13
none,true,True,0.3654846402419202,0.4467560198128311,0.8813540568439677,-0.0214174222096144,-0.02141742220961529,14
none,true,True,0.3663509457725806,0.4413863773999377,0.9069366477952663,0.0059604777574566725,0.005960477757456228,20
none,honest_fp,False,0.0,0.0,0.0,0.0,0.0,16
none,true,False,0.05108181207677898,0.0,0.05108181207677909,0.05108181207677909,0.051081812076778754,13
none,true,False,-0.12393717396508858,0.0185836872661892,-0.15021847653583364,-0.11079652267971518,-0.1502184765358332,12
none,true,False,-0.0060583961497916675,8.231806349783991e-11,-0.006058396149791534,-0.006058396149791534,-0.006058396149791645,15
none,honest_fp,False,-2.5240468048988722,0.0,-2.5240468048988713,-2.5240468048988705,-2.5240468048988713,18
none,true,True,0.6315469369059586,0.42962402652742737,0.9353369994241731,0.023966811869531313,0.9353369994241714,9
none,true,True,0.926993894318089,0.0,0.9269938943180893,0.9269938943180893,0.9269938943180893,14
none,true,False,0.024717459239463106,0.004912754147142854,0.02012199852844887,0.029969414337765343,0.020121998528447982,15
none,true,True,-0.502297842267275,0.6589424682944177,-1.3863619336879651,-0.011151124811336288,-0.0111511248113354,14
none,true,False,-3.3253405161659013,4.2146848510894035e-08,-3.3253405161659018,-3.3253405161659,-3.325340516165901,16
none,true,True,0.8933385020467253,0.0,0.8933385020467242,0.8933385020467224,0.8933385020467242,10
none,true,True,0.2873252008815304,0.4130561723119098,0.9404243539298367,0.026085539662206614,0.9404243539298385,14
none,true,True,1.1404241341020824,0.0,1.1404241341020835,1.1404241341020818,1.1404241341020835,12
none,true,True,0.34072001954660325,0.4374902386161128,0.9194652057448742,0.010008484576163212,0.9194652057448742,11
none,true,True,0.6905837991231684,0.4371706297130742,0.9767791565905508,0.022794631699275314,0.976779156590549,10
none,true,True,0.3184543329141763,0.4355297885020101,0.9081644542730611,-0.0032057332815789152,-0.003205733281578027,17
none,true,False,-0.03676210509021674,0.00489322025607573,-0.0422328916509489,-0.03238547584163065,-0.03238547584163065,18
none,true,True,0.31023994198224664,0.4398387484737859,0.8920919146980104,-0.022246899569617895,-0.022246899569617895,11
none,true,True,0.24779479216728742,0.4108506674631137,0.8974067358592244,-0.012049985309486644,-0.012049985309486644,14
none,true,True,0.3041301182023993,0.455021617919453,0.924220059381728,-0.029764465509547477,-0.02976446550954659,20
none,honest_fp,False,-2.4576114098612143,0.0,-2.457611409861215,-2.4576114098612134,-2.4576114098612143,14
none,true,True,2.067634572193915,0.658942468294417,1.1835704807732252,2.558781289649856,1.1835704807732252,14
none,true,False,-0.0993455223103345,0.0,-0.099345522310335,-0.099345522310335,-0.09934552231033411,18
none,honest_fp,False,-1.0,0.0,-1.0,-1.0,-1.0,15
none,honest_fp,False,-1.9999999999999991,4.2146848510894035e-08,-2.0,-2.0,-1.9999999999999991,17
none,true,True,0.945473043106722,1.0536712127723509e-08,0.9454730431067215,0.9454730431067224,0.9454730431067215,13
none,true,False,1.4686354784133595,0.47219007991993145,0.9678022671327566,1.913820555107229,0.9678022671327566,17
none,true,True,0.5692290001325725,0.5697250716218458,1.1389540717544184,-0.0004960714892732199,-0.000496071489273886,14
none,true,True,0.888743711913141,0.0,0.8887437119131416,0.8887437119131416,0.8887437119131409,18
