R,R_se,misses,ghosts,dups,AP,RO_recall,harm_rate,malicious_accept,benefit_rate,accept_rate,soft_frac,quarantine_frac,family,knob,condition
9.362168598338906,0.18826177751801632,1.83,2.894285714285714,0.19285714285714287,0.6678000086267943,0.722381822930269,0.7368078175895766,,0.9994556341861731,0.9488181089743589,0.0,0.0,confidence,0.2,none
9.362220007615917,0.18824609115098934,1.83,2.894285714285714,0.19285714285714287,0.6678000086267943,0.722381822930269,0.549185667752443,,0.9932861549628017,0.9061498397435898,0.0,0.0,confidence,0.3,none
8.616098151326248,0.1802770527046004,1.8757142857142857,2.4571428571428573,0.18428571428571427,0.6672426702481199,0.7158527030556281,0.3550488599348534,,0.971511522409726,0.8493589743589743,0.0,0.0,confidence,0.4,none
8.142032742575331,0.17702170444886725,1.9985714285714287,2.084285714285714,0.17142857142857143,0.651763414011208,0.6970488378166623,0.21107491856677524,,0.9172563962983125,0.7759415064102564,0.0,0.0,confidence,0.5,none
7.9409593013861555,0.17587258194540417,2.2842857142857143,1.7442857142857142,0.14857142857142858,0.625727137631983,0.6513449986941761,0.10293159609120521,,0.8116494284158955,0.6675681089743589,0.0,0.0,confidence,0.6,none
8.041456773061446,0.16765818127563578,2.8714285714285714,1.3457142857142856,0.08,0.5689252793359434,0.5557586837294333,0.03452768729641694,,0.6276537833424061,0.5103165064102564,0.0,0.0,confidence,0.7,none
9.07487666105598,0.1670702448459414,3.9571428571428573,0.9685714285714285,0.04285714285714286,0.4733481376471194,0.3818229302689997,0.0071661237785016286,,0.380148793322446,0.3072916666666667,0.0,0.0,confidence,0.8,none
10.54719194535753,0.17077157992578607,5.435714285714286,0.5642857142857143,0.007142857142857143,0.3496236011476013,0.14050665970227214,0.0006514657980456026,,0.12502268190890944,0.09785657051282051,0.0,0.0,confidence,0.9,none
11.28904610923289,0.1730280848784208,6.067142857142857,0.3985714285714286,0.002857142857142857,0.2986011885236477,0.03865238965787412,0.0,,0.03139176193068409,0.024839743589743588,0.0,0.0,confidence,0.95,none
10.195055149896671,0.16995455147376215,5.25,0.35428571428571426,0.0,0.39673437612482226,0.17968137895011752,0.34267100977198695,,0.1502449646162221,0.18830128205128205,0.0,0.0,gate_umarg,0.02,none
8.972818259572772,0.16144467897410808,4.434285714285714,0.38,0.007142857142857143,0.4845897317943514,0.3115696004178637,0.36482084690553745,,0.28542914171656686,0.28074919871794873,0.0,0.0,gate_usolo,0.02,none
10.488095541214854,0.1721326746237366,5.44,0.3514285714285714,0.0,0.383575205162594,0.14912509793679812,0.3355048859934853,,0.1449827617492288,0.18098958333333334,0.047776442307692304,0.007311698717948718,gate_4action,0.02,none
8.54860336332068,0.15403764214072116,4.16,0.37857142857142856,0.002857142857142857,0.5140397220139636,0.35857926351527813,0.393485342019544,,0.3365995282162947,0.33743990384615385,0.0,0.0,gate_umarg,0.05,none
7.859760700749878,0.15133739621407943,3.722857142857143,0.4114285714285714,0.011428571428571429,0.5608078397181723,0.424653956646644,0.3973941368078176,,0.4126292868807839,0.39302884615384615,0.0,0.0,gate_usolo,0.05,none
8.92451219981064,0.15882766033179288,4.441428571428571,0.36428571428571427,0.0,0.5008237515834068,0.3126142595978062,0.3791530944625407,,0.3246234803121031,0.32502003205128205,0.07692307692307693,0.012419871794871794,gate_4action,0.05,none
7.386855931592584,0.14926013765638324,3.3285714285714287,0.4471428571428571,0.012857142857142857,0.5982502820937542,0.4912509793679812,0.4273615635179153,,0.5029940119760479,0.4777644230769231,0.0,0.0,gate_umarg,0.1,none
7.012761749750319,0.14769307352747413,3.125714285714286,0.47,0.027142857142857142,0.6256799678029002,0.5238965787411857,0.42280130293159607,,0.5389221556886228,0.4983974358974359,0.0,0.0,gate_usolo,0.1,none
7.771152619050028,0.14979590053866826,3.6314285714285712,0.4142857142857143,0.01,0.5974273275420844,0.44293549229563856,0.4201954397394137,,0.484304119034658,0.4609375,0.08974358974358974,0.016826923076923076,gate_4action,0.1,none
6.491761280221547,0.1416485290022631,2.7157142857142857,0.5785714285714286,0.02857142857142857,0.6541955510660286,0.5928440846173936,0.4521172638436482,,0.6750136091453457,0.6214943910256411,0.0,0.0,gate_umarg,0.2,none
6.417730679895573,0.14529184538717535,2.6228571428571428,0.6271428571428571,0.05857142857142857,0.6629925369943362,0.606163489161661,0.4488599348534202,,0.6737434222464163,0.6167868589743589,0.0,0.0,gate_usolo,0.2,none
6.803773197238015,0.14374950061502634,2.9371428571428573,0.53,0.02,0.6598141277526423,0.5560198485244189,0.4482084690553746,,0.6543277082199238,0.6035657051282052,0.08703926282051282,0.017928685897435896,gate_4action,0.2,none
6.370082951321129,0.14426688074107763,2.4957142857142856,0.7457142857142857,0.06428571428571428,0.6705821340342818,0.6247061896056412,0.46905537459283386,,0.7664670658682635,0.7009214743589743,0.0,0.0,gate_umarg,0.3,none
6.330398827653061,0.14713839730132441,2.4185714285714286,0.7928571428571428,0.08,0.678525466964469,0.6382867589448943,0.4703583061889251,,0.7606604971874433,0.6921073717948718,0.0,0.0,gate_usolo,0.3,none
6.422366199117262,0.14152974991551512,2.665714285714286,0.6114285714285714,0.032857142857142856,0.6728139001646142,0.5975450509271351,0.4631921824104234,,0.747051351841771,0.6841947115384616,0.08263221153846154,0.01672676282051282,gate_4action,0.3,none
